Identificador,Nombre,Categoría,Normativa
2405,Podiceps nigricollis,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108245,Pollicipes pollicipes,-,-
106467,Polyommatus golgus,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2513,Porphyrio porphyrio,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2506,Porzana porzana,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108247,Pourtalosmilia anthophyllites,-,-
2608,Pterocles alchata,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2607,Pterocles orientalis,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
105810,Puffinus mauretanicus,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15144,Puffinus yelkouan,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2502,Rallus aquaticus,-,-
112607,Ranella olearium,-,-
2525,Recurvirostra avosetta,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108299,Reteporella,-,-
2085,Rhinolophus,-,-
2088,Rhinolophus euryale,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
110352,Rhinolophus euryale/Rhinolophus mehelyi,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2086,Rhinolophus ferrumequinum,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2087,Rhinolophus hipposideros,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2089,Rhinolophus mehelyi,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2581,Rissa tridactyla,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
105903,Rossomyrmex minuchae,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108257,Sabellaria alveolata,-,-
3626,Salaria fluviatilis,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108262,Schilderia achatidea,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2565,Scolopax rusticola,-,-
108265,Scyllarides latus,-,-
108267,Scyllarus arctus,-,-
108269,Sipunculus nudus,-,-
16209,Somateria mollissima,-,-
2456,Spatula clypeata,-,-
15034,Spatula querquedula,-,-
108384,Spinimuricea atlantica,-,-
108272,Spondylus gaederopus,-,-
108277,Spongia agaricina,-,-
119653,Spongia lamella,-,-
108332,Stenopus spinosus,-,-
15110,Stercorarius parasiticus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
16255,Stercorarius pomarinus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2569,Stercorarius skua,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2586,Sterna hirundo,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2587,Sternula albifrons,-,-
106280,Sympetrum,-,-
119825,Sympetrum fonscolombii,-,-
119826,Sympetrum meridionale / Sympetrum striolatum,-,-
119829,Sympetrum striolatum,-,-
119830,Sympetrum vulgatum,-,-
2407,Tachybaptus ruficollis,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2467,Tadorna ferruginea,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15013,Tadorna tadorna,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
114061,Tarantinaea lignaria,-,-
108279,Tethya aurantium,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2521,Tetrax tetrax,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
113925,Thalasseus elegans,-,-
16176,Thalasseus maximus,-,-
2585,Thalasseus sandvicensis,-,-
105922,Threskiornis aethiopicus,-,-
2556,Tringa,-,-
2558,Tringa erythropus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15114,Tringa flavipes,-,-
16251,Tringa glareola,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2559,Tringa nebularia,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2560,Tringa ochropus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15115,Tringa stagnatilis,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2557,Tringa totanus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
106320,Trithemis annulata,-,-
119831,Trithemis kirbyi,-,-
108286,Ungulina cuneata,-,-
111795,Unio gibbus,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108287,Unio tumidiformis,Vulnerable,Decreto 23/2012 -Real Decreto 139/2011. LESRPE y Catálogo Español de Especies Amenazadas (Orden AAA/
2540,Vanellus vanellus,-,-
16118,Vespertilionidae,-,-
16258,Xema sabini,-,-
16253,Xenus cinereus,-,-
2504,Zapornia pusilla,-,-
108289,Zonaria pyrum,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
106332,Zygonyx torridus,-,-
1429,Anax,-,-
108387,Asterina gibbosa,-,-
113924,Aythya nyroca x Aythya ferina,-,-
106550,Calopteryx,-,-
13435,Gomphus,-,-
16295,Larus fuscus x L. michahellis,-,-
113394,Linaria,-,-
16216,Oxyura leucocephala x O. jamaicensis,-,-
113240,Pholas-Barnea,-,-
81724,Thielavia,-,-
