Identificador,"Nombre","Categoría","Normativa"
11457,"Cymodocea nodosa","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
11077,"Cynara algarbiensis","-","-"
11078,"Cynara baetica","-","-"
106585,"Cynara baetica subsp. baetica","-","-"
11085,"Cynara tournefortii","-","-"
8618,"Cynomorium coccineum subsp. coccineum","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
104774,"Cytisus arboreus subsp. catalaunicus","-","-"
8296,"Cytisus fontanesii subsp. plumosus","-","-"
8297,"Cytisus galianoi","-","-"
13023,"Cytisus grandiflorus subsp. cabezudoi","-","-"
8302,"Cytisus malacitanus","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
12769,"Dactylorhiza markusii","-","-"
12773,"Dactylorhiza sulphurea","-","-"
8546,"Daphne oleoides","-","-"
13021,"Daucus arcanus","-","-"
5686,"Davallia canariensis","-","-"
10681,"Daveaua anthemoides","-","-"
5950,"Delphinium emarginatum subsp. nevadense","-","-"
5945,"Delphinium fissum subsp. sordidum","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
108150,"Dendrophyllia cornigera","-","-"
108380,"Dendrophyllia laboreli","-","-"
108151,"Dendrophyllia ramea","-","-"
114065,"Dendropoma lebeche","-","-"
6687,"Dianthus charidemi","-","-"
6693,"Dianthus inoxianus (=Dianthus hinoxianus)","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
6709,"Dianthus subbaeticus","-","-"
10061,"Digitalis mariana","-","-"
10060,"Digitalis mariana subsp. heywoodii","-","-"
10055,"Digitalis obscura subsp. laciniata","-","-"
10059,"Digitalis purpurea subsp. bocquetii","-","-"
10066,"Digitalis thapsi","-","-"
5668,"Diplazium caudatum","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
7613,"Diplotaxis siettiana","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
107368,"Donacilla cornea","-","-"
105807,"Dorycnium gracile","-","-"
7437,"Draba dubia subsp. laevipes","-","-"
7443,"Draba lutescens","-","-"
7016,"Drosophyllum lusitanicum","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
5673,"Dryopteris affinis subsp. affinis","-","-"
5671,"Dryopteris filix-mas","-","-"
5677,"Dryopteris submontana","-","-"
5678,"Dryopteris tyrrhena","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
8251,"Echinospartum algibicum","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
9403,"Echium gaditanum","-","-"
9408,"Echium parviflorum","-","-"
2437,"Egretta garzetta","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
2436,"Egretta gularis","-","-"
15030,"Elanus caeruleus","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
6938,"Elatine alsinastrum","-","-"
6937,"Elatine brochonii","-","-"
11597,"Eleocharis quinqueflora","-","-"
108157,"Ellisella paraplexauroides","LAESRPE","Decreto 23/2012 -Real Decreto 139/2011. LESRPE y Catálogo Español de Especies Amenazadas (Orden TEC/596/2019)-"
12205,"Elymus curvifolius","-","-"
5776,"Ephedra nebrodensis","-","-"
8589,"Epilobium angustifolium","-","-"
8590,"Epilobium atlanticum","-","-"
105489,"Epipactis lusitanica","-","-"
12734,"Epipactis microphylla","-","-"
114058,"Episcomitra zonata","-","-"
